what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1433771284738
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1433771284739
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1433771284740
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1433771284742
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1433771284742
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1433771284743
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1433771284744
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1433771284746
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1433771284747
os,sysinfo,,,"win32",1433771284753
arch,sysinfo,,,"x86",1433771284753
ws,sysinfo,,,"win32",1433771284753
locale,sysinfo,,,"en_US",1433771284753
processors,sysinfo,,,"4",1433771284753
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1433771284753
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1433771284753
java.specification.name,sysinfo,,,"Java Platform API Specification",1433771284753
java.specification.vendor,sysinfo,,,"Oracle Corporation",1433771284753
java.specification.version,sysinfo,,,"1.7",1433771284753
java.vendor,sysinfo,,,"Oracle Corporation",1433771284753
java.version,sysinfo,,,"1.7.0_45",1433771284753
java.vm.info,sysinfo,,,"mixed mode, sharing",1433771284753
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1433771284753
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1433771284754
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1433771284754
java.vm.specification.version,sysinfo,,,"1.7",1433771284754
java.vm.vendor,sysinfo,,,"Oracle Corporation",1433771284754
java.vm.version,sysinfo,,,"24.45-b08",1433771284754
started,bundle,org.eclipse.rse.ui,3.1.100.v201005282245,"org.eclipse.rse.ui",1433771286806
started,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1433771286810
started,bundle,org.eclipse.dltk.rse.core,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.core",1433771286934
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1433771287449
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1433771287701
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1433771289026
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1433771289027
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1433771289138
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1433771289275
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1433771289323
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1433771289430
