what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980844531
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980845643
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980846191
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1434980851412
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980857912
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980858741
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1434980861849
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1434980863549
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434980863896
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980864275
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980868390
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980874406
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980877465
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980890357
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980894354
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434980896882
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434980897514
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434980898294
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1434980900835
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1434980902117
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1434980914778
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1434980915782
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1434980915962
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordNext",1434980916180
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434980917036
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980918729
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980919895
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1434980921124
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434980921503
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980921856
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980925059
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434980925654
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434980926081
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980926438
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980931004
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1434980932259
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434980932618
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980932971
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980935471
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434980935990
