what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1434979915775
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1434979920995
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434979938541
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434979940132
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434979941395
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434979942710
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434979948554
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434979949817
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434979955238
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1434979958336
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1434979959165
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1434979960125
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1434979960291
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1434979960589
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434979970790
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434979971414
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434979976688
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1434979978327
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1434979984093
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1434979984999
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1434979996371
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434979996909
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434980009000
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980009854
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980014928
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980028011
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980039683
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980044037
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980045442
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1434980049505
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1434980054191
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434980054575
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434980058248
