what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432577996778
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578000075
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432578002727
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578004386
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578009767
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432578011404
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578016903
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578022655
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432578032688
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432578034558
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578034953
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578054848
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1432578056725
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432578057341
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432578057457
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432578065374
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1432578067081
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432578067551
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432578067721
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432578073384
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1432578074200
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432578074935
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432578075051
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432578082376
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1432578083564
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578084578
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578525277
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578526833
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578578064
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432578596378
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578596745
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578599022
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1432578605279
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1432578605755
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432578607202
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1432578617077
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432578620120
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1432578641307
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432578642324
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432578649713
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432578650537
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578651441
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578656130
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1432578664959
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432578667718
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432578668107
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578668487
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578673687
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1432578676866
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432578677802
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578681859
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578682574
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432578689684
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1432578693271
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1432578693461
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432578694606
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432578695933
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578698339
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578699693
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578700353
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578702668
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432578706746
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1432578710010
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432578710752
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578711224
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578712280
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432578713767
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1432578719557
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578722636
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578723681
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578724434
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432578725640
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432578729835
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432578730299
closed,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1432578731780
closed,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1432578732286
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432578732858
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1432578738798
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432578739658
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432578742514
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432578743286
