what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434322433266
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434322443318
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434322448972
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434322454984
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434322580397
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1434322581946
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1434322592348
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434322593850
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1434322596218
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434322596675
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434322610988
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434322623708
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1434322628071
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434322640271
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434322646828
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434322647403
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434322648040
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434322648670
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434322649187
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434322649782
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434322650682
