what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137347016
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434137352970
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137353378
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137356402
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434137359043
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137359318
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137362138
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1434137365028
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1434137366609
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1434137368381
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434137368917
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137369280
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137375497
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434137379952
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137382162
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137397423
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137398806
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137433255
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1434137435487
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137437674
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137444757
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137447107
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137572879
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1434137575984
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434137580469
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137580812
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137583383
closed,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1434137587318
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1434137589080
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1434137590397
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434137596295
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137596623
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137598763
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434137601500
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137601763
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137603558
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434137605149
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137605403
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137607835
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434137609743
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137610007
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137613106
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434137616047
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137616322
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137619718
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137622573
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137623925
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434137627721
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434137627968
