what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434317020504
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434317034434
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434317035038
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434317039599
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434317044820
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434317054546
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434317063627
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434317073119
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1434317079345
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1434317081063
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434317081131
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434317082056
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434317086003
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434317086571
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434317088146
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434317088976
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434317089523
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434317092150
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434317097431
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434317099235
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1434317100632
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1434317100842
error,log,,,"Error in JSDT Core during AST creation",1434317100845
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1434317103244
error,log,,,"Error in JSDT Core during AST creation",1434317103250
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1434317104614
error,log,,,"Error in JSDT Core during AST creation",1434317104617
error,log,,,"Unexpected runtime error while computing a text hover",1434317104674
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434317106903
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1434317112129
error,log,,,"Error in JSDT Core during AST creation",1434317112133
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1434317113941
error,log,,,"Error in JSDT Core during AST creation",1434317113944
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1434317114157
error,log,,,"Error in JSDT Core during AST creation",1434317114160
