what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313733855
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1434313735830
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434313736139
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313739594
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313742389
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313744904
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313745503
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434313745943
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434313746799
executed,command,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui.add.block.comment",1434313750599
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434313751477
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434313755658
executed,command,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui.add.block.comment",1434313761351
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434313762162
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313762514
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313776031
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1434313782768
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1434313783904
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434313784424
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313784799
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313793327
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434313793892
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434313795097
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434313795541
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313795830
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313808461
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434313819738
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313819992
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313831586
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1434313835473
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1434313838073
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434313838569
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313839682
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313842991
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313846712
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313848201
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434313852257
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313852483
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434313858407
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434313860202
