what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127289144
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1434127293800
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1434127300192
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1434127302125
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434127302459
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1434127303311
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127305545
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127309245
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434127315281
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127316383
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127319245
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434127320219
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434127320592
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127320988
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127322866
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434127336357
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1434127339901
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127407078
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127407857
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127408454
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127411771
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127414326
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127433124
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1434127434774
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1434127436893
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1434127438352
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434127439178
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1434127442918
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434127443233
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1434127449032
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434127449506
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1434127456413
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434127457198
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127458386
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127463385
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1434127468078
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434127468623
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127469126
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127470535
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1434127477371
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434127478109
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1434127493159
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1434127493327
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1434127493461
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1434127493820
executed,command,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui.add.block.comment",1434127494747
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434127497249
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434127511608
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127602871
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127605596
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434127616185
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127616484
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127620561
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434127622476
