what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1432514791153
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1432514791539
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432514792412
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432514792878
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432514798589
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432514803874
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432514804130
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432514807335
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1432514808870
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432514809390
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1432514811191
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432514820884
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432514821626
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432514821759
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432514830456
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432514836254
opened,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1432514880762
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1432514880980
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1432514893349
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432514893937
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432514894663
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1432514896685
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432514902235
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1432514903229
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432514903546
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432514904063
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432514907993
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1432514910649
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432514911102
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432514912591
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432514915958
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432514925836
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432514926324
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432514926703
