what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434314725567
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434314726354
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434314726721
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434314731216
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1434314744302
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434314744677
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434314744983
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434314757760
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434314765165
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434314778396
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1434314779916
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434314786571
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434314790207
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1434314806396
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1434314808131
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434314808436
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434314809269
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434314816277
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434314819894
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434314823180
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434314825549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434314831701
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434315344421
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434316045800
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1434316071077
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434316071263
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434316071584
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434316079175
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1434316079705
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1434316080170
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434316082360
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1434316088138
